Case.Number,Time,Date,Location,Accident.Type,Tickets
B7-001518,2017-01-06T08:51:00Z,2017-01-06T06:00:00Z,W LOMBARD DR bet BEDFORD and BARONS RD,H&R,NA
B7-001519,2017-01-06T11:33:00Z,2017-01-06T06:00:00Z,N 53 at CLEVELAND,NA,NA
B7-001531,2017-01-06T12:15:00Z,2017-01-06T06:00:00Z,11 at O,NA,B7-001531
B7-001537,2017-01-06T12:15:00Z,2017-01-06T06:00:00Z,N 62 at COLFAX,NA,NA
B7-001538,2017-01-06T11:51:00Z,2017-01-06T06:00:00Z,1400 FAIRFIELD ST,No report,NA
B7-001539,2017-01-06T12:27:00Z,2017-01-06T06:00:00Z,S 56 bet OLD CHENEY and NEBR HWY,NA,NA
B7-001548,2017-01-06T13:00:00Z,2017-01-06T06:00:00Z,NORMAL bet PARK CREST and S 62,INJURY,B7-001548
B7-001559,2017-01-06T13:53:00Z,2017-01-06T06:00:00Z,TELLURIDE DR bet WILDCAT DR and WHITEHEAD DR,NA,B7-001559
B7-001570,2017-01-06T14:22:00Z,2017-01-06T06:00:00Z,W FLETCHER bet NW 7 and NW 12,NA,B7-001570
B7-001577,2017-01-06T14:48:00Z,2017-01-06T06:00:00Z,S 40 at PINE LAKE,INJURY,B7-001577
B7-001578,2017-01-06T14:50:00Z,2017-01-06T06:00:00Z,N 63 bet GARLAND and LEIGHTON,INJURY,B7-001578
B7-001582,2017-01-06T15:15:00Z,2017-01-06T06:00:00Z,S 20 at E,INJURY,NA
B7-001585,2017-01-06T15:20:00Z,2017-01-06T06:00:00Z,SAUNDERS bet N 11 and SPRINGFIELD,NA,B7-001585
B7-001588,2017-01-06T15:19:00Z,2017-01-06T06:00:00Z,A bet S 3 and S 4,NA,B7-001588
B7-001590,2017-01-06T15:45:00Z,2017-01-06T06:00:00Z,S 52 at M,NA,B7-001590
B7-001592,2017-01-06T15:35:00Z,2017-01-06T06:00:00Z,SHADY CREEK bet DEAD END and S 56,NA,B7-001592
B7-001594,2017-01-06T16:00:00Z,2017-01-06T06:00:00Z,N 84 at HOLDREGE,INJURY,B7-001594
B7-001598,2017-01-06T16:06:00Z,2017-01-06T06:00:00Z,16TH ST / O ST ; SWC,No report,NA
B7-001601,2017-01-06T16:20:00Z,2017-01-06T06:00:00Z,O bet 24 and 25,NA,B7-001601
B7-001603,2017-01-06T16:20:00Z,2017-01-06T06:00:00Z,S 37 at MOHAWK,NA,NA
B7-001620,2017-01-06T17:12:00Z,2017-01-06T06:00:00Z,W FAIRFIELD bet W ALLISON and W TREEHAVEN,H&R,B7-001620
B7-001621,2017-01-06T17:13:00Z,2017-01-06T06:00:00Z,N 35 bet R and S,NA,B7-001621
B7-001624,2017-01-06T00:00:00Z,2017-01-06T06:00:00Z,N 28 bet ORCHARD and Y,H&R,NA
B7-001630,2017-01-06T17:53:00Z,2017-01-06T06:00:00Z,S 56 at NEBR HWY,NA,B7-001630
B7-001638,2017-01-06T18:17:00Z,2017-01-06T06:00:00Z,NEBRASKA 2 HWY / OLD CHENEY RD ; NS,NA,NA
B7-001639,2017-01-06T18:18:00Z,2017-01-06T06:00:00Z,O bet EASTRIDGE and LYNCREST,INJURY,B7-001639
B7-001641,2017-01-06T18:30:00Z,2017-01-06T06:00:00Z,OLD CHENEY at ROLLING HILLS,NA,NA
B7-001642,2017-01-06T18:35:00Z,2017-01-06T06:00:00Z,HIGH bet S 46 and S 46,NA,NA
